HUC_10,HU_10_NAME,spsm_MPG,spsm_POP_NAME,spsm_TRT_POPID,sthd_MPG,sthd_POP_NAME,sthd_TRT_POPID,fall_MPG,fall_POP_NAME,fall_TRT_POPID,spsm_sm,spsm_sm2,spsm_w,spsm_w2,spsm_r,spsm_r2,spsm_ip,sthd_sm,sthd_sm2,sthd_w,sthd_w2,sthd_r,sthd_r2,sthd_ip
1706010101,Granite Creek-Snake River,NA,NA,NA,Hells Canyon,Hells Canyon,SNHCT-s,Snake River,Snake River Lower Mainstem,SNLMA-f,0.002684170184087667,3.460663651271082e-4,1.4489158768758892,0.15774186805961063,0.002684170184087667,3.460663651271082e-4,NA,0.002723641744003212,6.877225424751466e-4,2.7420559968245346,0.5060947887673912,0.002723641744003212,6.877225424751466e-4,NA
1706010102,Getta Creek-Snake River,NA,NA,NA,Hells Canyon,Hells Canyon,SNHCT-s,Snake River,Snake River Lower Mainstem,SNLMA-f,0.0023287997561374976,2.481261651805672e-4,1.632265365088646,0.1345977750615438,0.0023287997561374976,2.481261651805672e-4,NA,0.0026072905659639298,8.285013414035067e-4,2.646224634439087,0.5767094499449233,0.0026072905659639298,8.285013414035067e-4,NA
1706010103,Wolf Creek-Snake River,NA,NA,NA,Hells Canyon,Hells Canyon,SNHCT-s,Snake River,Snake River Lower Mainstem,SNLMA-f,0.003829778567604292,9.618147236703407e-4,1.5542059206290206,0.1651471321446352,0.003829778567604292,9.618147236703407e-4,NA,0.0023725383445241622,6.631283295608333e-4,3.1343929553771592,0.5005654385614174,0.0023725383445241622,6.631283295608333e-4,NA
1706010201,Upper Imnaha River,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI,Imnaha River,Imnaha River,IRMAI-s,NA,NA,NA,0.002429896203301761,2.3134033239043093e-4,1.5053630945691399,0.09917311726399586,0.002429896203301761,2.3134033239043093e-4,0.47018377594164273,0.0022798466923021257,5.987656987455895e-4,2.4612958637098936,0.43056946958058234,0.0022798466923021257,5.987656987455895e-4,0.8575605422026162
1706010202,Middle Imnaha River,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI,Imnaha River,Imnaha River,IRMAI-s,NA,NA,NA,0.002452047384684781,3.2873317212896874e-4,1.3902549901734427,0.09991233338930368,0.002452047384684781,3.2873317212896874e-4,0.32774583615824987,0.002508148775620849,7.671800430795745e-4,2.5422312898360753,0.5119215784414731,0.002508148775620849,7.671800430795745e-4,0.623971576023305
1706010203,Upper Big Sheep Creek,Grande Ronde / Imnaha,Big Sheep Creek,IRBSH,Imnaha River,Imnaha River,IRMAI-s,NA,NA,NA,0.0026138090871008217,3.160539512396752e-4,1.4337154893144624,0.12212256241477386,0.0026138090871008217,3.160539512396752e-4,0.363457499662089,0.0024520217221287673,7.184421917148681e-4,2.4885707405118125,0.48086818410790605,0.0024520217221287673,7.184421917148681e-4,0.7647114354571828
1706010204,Lower Big Sheep Creek,Grande Ronde / Imnaha,Big Sheep Creek,IRBSH,Imnaha River,Imnaha River,IRMAI-s,NA,NA,NA,0.0030408141461119535,4.189622310554651e-4,1.6247433270259417,0.14731023817408284,0.0030408141461119535,4.189622310554651e-4,0.23996305435773974,0.0031199986104170937,0.001029290792793942,3.006049947558077,0.7458175909466561,0.0031199986104170937,0.001029290792793942,0.7504427551308477
1706010205,Lower Imnaha River,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI,Imnaha River,Imnaha River,IRMAI-s,NA,NA,NA,0.002889525433165162,3.9879468029856857e-4,1.6191375265199628,0.15199911101488092,0.002889525433165162,3.9879468029856857e-4,0.13075135413930838,0.002848423607389036,8.896625894781068e-4,2.9684440831467676,0.643161031120736,0.002848423607389036,8.896625894781068e-4,0.4630180718146486
1706010301,Cherry Creek-Snake River,NA,NA,NA,Hells Canyon,Hells Canyon,SNHCT-s,Snake River,Snake River Lower Mainstem,SNLMA-f,0.0044368610203754195,0.0013952967642379187,1.4497853471146678,0.15280140183777757,0.0044368610203754195,0.0013952967642379187,NA,0.003281933571621258,0.0012598924932896733,3.6115791199384737,0.7923455135538078,0.003281933571621258,0.0012598924932896733,NA
1706010302,George Creek-Asotin Creek,Lower Snake,Asotin Creek,SNASO,Lower Snake,Asotin Creek,SNASO-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16042805698467738,0.0025653799841663808,7.942868652260799e-4,3.1849680656720265,0.740555581625028,0.0025653799841663808,7.942868652260799e-4,0.5486628217623571
1706010303,Captain John Creek-Snake River,NA,NA,NA,Lower Snake,Asotin Creek,SNASO-s,Snake River,Snake River Lower Mainstem,SNLMA-f,0.0030973586792571984,7.205558503281534e-4,3.659803706748265,0.17280901208144028,0.0030973586792571984,7.205558503281534e-4,NA,0.0028337856166130234,0.0010956902818400709,4.031265520057357,0.8035954098141763,0.0028337856166130234,0.0010956902818400709,NA
1706010401,Upper Grande Ronde River,Grande Ronde / Imnaha,Grande Ronde River upper mainstem,GRUMA,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,NA,NA,NA,0.004688598701601248,0.0011457810932664373,1.6301009015115933,0.22431684761945872,0.004688598701601248,0.0011457810932664373,0.30684631649499844,0.003487492100546269,0.0014191373859322738,3.1769574180452063,0.8583519663422953,0.003487492100546269,0.0014191373859322738,0.795068205146048
